2026-09-02 00:52:08.056 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 00:52:10.422 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 44/66 filtering: 36 candidates → 5 frequent (13.9% pass rate, min_count=20)
2026-09-02 00:52:10.422 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 45/66: candidates [679,889, 680,042)
2026-09-02 00:52:10.423 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 45/66 filtering: 153 candidates → 18 frequent (11.8% pass rate, min_count=20)
2026-09-02 00:52:10.424 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 46/66: candidates [680,042, 680,045) (legacy sub-chunk)
2026-09-02 00:52:10.425 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 46/66 filtering: 3 candidates → 1 frequent (33.3% pass rate, min_count=20)
2026-09-02 00:52:10.425 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 47/66: candidates [680,045, 681,052)
2026-09-02 00:52:10.426 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 47/66 filtering: 1,007 candidates → 91 frequent (9.0% pass rate, min_count=20)
2026-09-02 00:52:10.426 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 48/66: candidates [681,052, 681,107) (legacy sub-chunk)
2026-09-02 00:52:10.427 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 48/66 filtering: 55 candidates → 7 frequent (12.7% pass rate, min_count=20)
2026-09-02 00:52:10.427 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 49/66: candidates [681,107, 681,198)
2026-09-02 00:52:10.429 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 49/66 filtering: 91 candidates → 15 frequent (16.5% pass rate, min_count=20)
2026-09-02 00:52:10.429 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 50/66: candidates [681,198, 681,209) (legacy sub-chunk)
2026-09-02 00:52:10.430 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 50/66 filtering: 11 candidates → 4 frequent (36.4% pass rate, min_count=20)
